계정(full-name),아이디,태그,카테고리,팔로워,URL
네이버 도치맘카페 🦔,dochithink,,교육  문학/종교/역사,193101,https://www.instagram.com/dochithink/
손하윤 (바비윤)🐰 | 피부과9년차가 알려주는 피부관리 다이어트 뷰티 꿀팁,hayoonson_,,뷰티  일상,52722,https://www.instagram.com/hayoonson_/
"책육아하는 카롱맘, 박신비",caron._.mom,,일상  육아/키즈,75780,https://www.instagram.com/caron._.mom/
Korea beauty 🇰🇷,sshin_style,,일상  패션,32438,https://www.instagram.com/sshin_style/
지나핏 홈트 Gina Jiyeon Lee,ginafitt_,,피트니스  다이어트/건강보조식품,190559,https://www.instagram.com/ginafitt_/
봉봉 𝖻𝗈𝗇𝖻𝗈𝗇 | 𝖩𝖾𝗈𝗇𝗀𝗁𝗐𝖺 𝖸𝗎𝗄,petitbonbon_wondermom,,F&B  일상,190189,https://www.instagram.com/petitbonbon_wondermom/
유나네 공부루틴(유나맘),yuna_house_,,교육  문학/종교/역사,39475,https://www.instagram.com/yuna_house_/
또니맘 l 육아용품 l 유아식 l 육아정보,seohui_jeong,,문구/완구  육아/키즈,222786,https://www.instagram.com/seohui_jeong/
지해 | 신혼집인테리어,haedal_home,,홈/리빙  일상,190141,https://www.instagram.com/haedal_home/
껀미언니,ggunmi_,,패션  F&B,38361,https://www.instagram.com/ggunmi_/
이여영,___yiyoyong,,다이어트/건강보조식품  건강가전,35748,https://www.instagram.com/___yiyoyong/
(주)매일부엌  |  임은희(비비안림),vivian_lim17,,F&B  홈/리빙,61741,https://www.instagram.com/vivian_lim17/
